variant,accuracy,macro_precision,macro_recall,macro_f1
steps_1,0.0975609756097561,0.3333333333333333,0.032520325203252036,0.05925925925925926
steps_2,0.7916666666666666,0.3333333333333333,0.2638888888888889,0.29457364341085274
steps_3,0.6,0.3333333333333333,0.19999999999999998,0.25
steps_4,0.7948717948717948,0.3333333333333333,0.26495726495726496,0.29523809523809524
steps_1_2,0.8048780487804879,0.3333333333333333,0.2682926829268293,0.2972972972972973
steps_1_3,0.6486486486486487,0.3333333333333333,0.21621621621621623,0.26229508196721313
steps_1_4,0.7857142857142857,0.3333333333333333,0.2619047619047619,0.29333333333333333
steps_2_3,0.6756756756756757,0.3333333333333333,0.22522522522522523,0.26881720430107525
steps_2_4,0.8170731707317073,0.3333333333333333,0.27235772357723576,0.2997762863534676
steps_3_4,0.7176470588235294,0.3333333333333333,0.23921568627450981,0.2785388127853881
steps_1_2_3,0.65,0.3333333333333333,0.21666666666666667,0.2626262626262626
steps_1_2_4,0.8433734939759037,0.3333333333333333,0.28112449799196787,0.30501089324618735
steps_1_3_4,0.6506024096385542,0.3333333333333333,0.21686746987951808,0.26277372262773724
steps_2_3_4,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.26666666666666666
steps_1_2_3_4,0.6265060240963856,0.3333333333333333,0.20883534136546186,0.25679012345679014
