variant,accuracy,macro_precision,macro_recall,macro_f1
steps_1,0.5153846153846153,0.5997493734335839,0.4851294522977149,0.43988392559821127
steps_2,0.5878787878787879,0.6595226458129684,0.5706971677559913,0.5534640522875817
steps_3,0.7435897435897436,0.8233369317939241,0.7538647342995168,0.7466607485317032
steps_4,0.6309523809523809,0.6408749672174141,0.6102292768959435,0.6017664963144169
steps_1_2,0.6369047619047619,0.6803513071895425,0.6252354048964218,0.6076035324092067
steps_1_3,0.7584269662921348,0.8295025080739368,0.7533483400799286,0.7601333613357135
steps_1_4,0.6821192052980133,0.713887282308335,0.6933119486768243,0.6801549145299145
steps_2_3,0.7135922330097088,0.8218299932585648,0.7190213175287802,0.7161424088253358
steps_2_4,0.589041095890411,0.6468430335097001,0.5795513823682837,0.5465422933651026
steps_3_4,0.75,0.8055555555555555,0.7575118756499987,0.7532426203423471
steps_1_2_3,0.7431693989071039,0.8388888888888889,0.7455026455026456,0.7482034114458792
steps_1_2_4,0.6823529411764706,0.7372055740535207,0.6679794724907507,0.6612652095875049
steps_1_3_4,0.7443181818181818,0.8099937343358395,0.739962489580439,0.7453365339244318
steps_2_3_4,0.7925531914893617,0.8633950351556895,0.7906127770534551,0.7961834561834561
steps_1_2_3_4,0.7191780821917808,0.8206773618538324,0.7272727272727272,0.7239057239057239
