variant,accuracy,macro_precision,macro_recall,macro_f1
steps_1,0.4811320754716981,0.5454545454545455,0.49336552888222057,0.42108262108262107
steps_2,0.8816568047337278,0.8858510540366381,0.8747874149659864,0.8770466259139399
steps_3,0.875,0.8836879432624114,0.8723196881091617,0.8762183235867447
steps_4,0.8305084745762712,0.8398675006725854,0.827484522645813,0.8286667848071357
steps_1_2,0.8591549295774648,0.8677105030046207,0.8598576416868117,0.8609957730673932
steps_1_3,0.8791666666666667,0.8763736263736264,0.8764277659374992,0.8755494395229495
steps_1_4,0.7925531914893617,0.8087201125175808,0.7926617810639273,0.7888789230296623
steps_2_3,0.8893805309734514,0.8896011396011397,0.8887754426765743,0.8879565700687303
steps_2_4,0.8578947368421053,0.8651059085841695,0.8592092574734812,0.8579332256751612
steps_3_4,0.9,0.90076962193667,0.8994566383767437,0.8985690235690237
steps_1_2_3,0.8863636363636364,0.8844021486275007,0.8850169513671123,0.8831609530825926
steps_1_2_4,0.8648648648648649,0.8624069643806486,0.8620448179271709,0.8600953565505804
steps_1_3_4,0.8820960698689956,0.8808771929824561,0.8822097789489094,0.8796944534896344
steps_2_3_4,0.8986175115207373,0.9004694835680752,0.8996979388770434,0.8980695186729477
steps_1_2_3_4,0.9078341013824884,0.9091079812206573,0.9095412578753584,0.9079610879491761
